iter. count	ObjectiveValue	Parameters	TimeSoFar
6650	-1.06967	1	14094
6651	-1.07358	1	14096
6700	-1.018	1	14174
6735	-1.07416	1	14229
6750	-1.0317	1	14252
6784	-1.07421	1	14307
6797	-1.07483	1	14329
6800	-1.02458	1	14333
6807	-1.07489	1	14345
6850	-1.0714	1	14412
6900	-1.07307	1	14490
6950	-1.02429	1	14567
7000	-1.07167	1	14643
7050	-1.07253	1	14721
7100	-1.0717	1	14798
7150	-1.07129	1	14876
7200	-1.07466	1	14952
7231	-1.07491	1	15000
7243	-1.07501	1	15018
7250	-1.07049	1	15029
7300	-1.07379	1	15105
7350	-1.07371	1	15183
7400	-1.07308	1	15262
7407	-1.07507	1	15273
7424	-1.0751	1	15298
7450	-1.0358	1	15339
7492	-1.07552	1	15404
7500	-1.07416	1	15416
7550	-1.07382	1	15494
7600	-1.07103	1	15573
7624	-1.07581	1	15611
7650	-1.07191	1	15653
7700	-1.07534	1	15731
7711	-1.07609	1	15749
7750	-1.07412	1	15811
7800	-1.07364	1	15889
7850	-1.07447	1	15969
7900	-1.07374	1	16046
7950	-1.0751	1	16125
8000	-1.07486	1	16205
8050	-1.0741	1	16283
8100	-1.07362	1	16364
8150	-1.07439	1	16444
8200	-1.07512	1	16523
8232	-1.0763	1	16575
8250	-1.03529	1	16604
8300	-1.07546	1	16686
8350	-1.07555	1	16767
8387	-1.0765	1	16826
8400	-1.07531	1	16846
8450	-1.07547	1	16925
8500	-1.03203	1	17004
8550	-1.07565	1	17085
8600	-1.07594	1	17164
8618	-1.07652	1	17192
8650	-1.07532	1	17243
8663	-1.07653	1	17263
8682	-1.0767	1	17295
8700	-1.07591	1	17323
8750	-1.07434	1	17403
8780	-1.0769	1	17449
8800	-1.07552	1	17482
8850	-1.0751	1	17562
8855	-1.07708	1	17569
8900	-1.07605	1	17640
8950	-1.03615	1	17720
8986	-1.07711	1	17778
9000	-1.07696	1	17801
