iter. count	ObjectiveValue	Parameters	TimeSoFar
3351	-1.23401	1	182682
3400	-1.22383	1	185375
3410	-1.23891	1	186002
3448	-1.2395	1	188080
3450	-1.22666	1	188188
3473	-1.24003	1	189508
3500	-1.23329	1	191095
3550	-1.23849	1	193975
3563	-1.24128	1	194758
3573	-1.24432	1	195343
3600	-1.22925	1	196997
3608	-1.2476	1	197584
3630	-1.24968	1	198925
3650	-1.24157	1	200027
3684	-1.25188	1	202218
3700	-1.22851	1	203113
3726	-1.2582	1	204717
3750	-1.24927	1	206044
3800	-1.24454	1	209022
3842	-1.26076	1	211382
3850	-1.25145	1	211786
3852	-1.26454	1	212009
3876	-1.26615	1	213443
3900	-1.25229	1	214707
3906	-1.26714	1	215236
3911	-1.26928	1	215503
3928	-1.26971	1	216590
3950	-1.25643	1	217868
3966	-1.27315	1	218909
4000	-1.25643	1	221020
4050	-1.26972	1	223974
4100	-1.26422	1	226831
4150	-1.25992	1	229777
4153	-1.27324	1	230046
4192	-1.27384	1	232310
4200	-1.25646	1	232777
4250	-1.26376	1	235958
4289	-1.27847	1	238373
4300	-1.26519	1	239016
4350	-1.26319	1	242089
4357	-1.27922	1	242555
4400	-1.27462	1	245100
4450	-1.24467	1	248789
4488	-1.28038	1	251563
4500	-1.26313	1	252429
4541	-1.28191	1	255493
4550	-1.2691	1	256135
4565	-1.28235	1	257228
4588	-1.28426	1	258791
4600	-1.27114	1	259640
4629	-1.28568	1	261740
4644	-1.28802	1	262740
4650	-1.28342	1	263126
4660	-1.28856	1	263871
4678	-1.28921	1	265229
4700	-1.2809	1	266779
4716	-1.29575	1	267964
4729	-1.30035	1	268977
4750	-1.2843	1	270412
4800	-1.27487	1	274108
4850	-1.28323	1	277760
4900	-1.29023	1	281257
4950	-1.2953	1	284334
5000	-1.29066	1	287086
5013	-1.30177	1	287783
5050	-1.29286	1	289738
5056	-1.30484	1	290040
5100	-1.28664	1	292344
5105	-1.30688	1	292677
5150	-1.29321	1	295043
